appliance_type,file_id,active_power,apparent_power,power_factor,rms_v,rms_i,thd_i,crest_factor_i,h2_i_norm,h3_i_norm,h4_i_norm,h5_i_norm,h6_i_norm
Compact Fluorescent Lamp,1,24.2776437180665,42.74184937577407,0.5680063935611308,120.00000998633008,0.35618204849018803,0.8456072570814054,4.6324625482787445,0.0048169845332058404,0.7543715304239237,0.0026100754669097673,0.38202652540231696,0.0009723012403606877
Compact Fluorescent Lamp,2,22.55145727871083,46.08499998934235,0.4893448472154952,120.0000250872939,0.3840415862898184,0.8219589353665235,68.79463303763684,0.005501126789728278,0.7389913728962926,0.006261187315394212,0.35967973682471377,0.008322515777752998
Compact Fluorescent Lamp,3,22.904106474045832,42.94018421502502,0.5333956267945295,120.0000162839004,0.3578348199006538,0.7901808459441478,24.843865117620872,0.007551879033172106,0.7176961154619047,0.0027054611842494184,0.3305028408666705,0.0012557586593417317
Compact Fluorescent Lamp,4,23.53941002171367,46.35354364249952,0.5078233112717498,119.9999895064529,0.38627956413285264,0.8114505060257934,66.06614061318278,0.007938874749022731,0.7282568859520662,0.009201137880756579,0.3576626808873957,0.004853022024960573
Compact Fluorescent Lamp,5,23.277438656142497,45.050105819576096,0.5167010872153713,119.9999421247015,0.3754177295582438,0.7963967085030861,54.499290760922236,0.006339221260331392,0.7222281252596384,0.00581234863694288,0.3354195227803175,0.007350307031452495
Fridge,6,114.2265274511424,115.62638200455419,0.9878932945133867,119.99997401120945,0.9635533920511791,0.08316980430361341,1.484090048145506,0.0013712023028995164,0.0641594725879783,0.0003458881809614914,0.05289865211449305,0.0007149791706374924
Hairdryer,7,1263.36786849761,1447.616391670545,0.8727228261346829,119.99999080634414,12.063470854816204,0.01780416617048088,1.5874370013796302,0.0019261927022797647,0.014969456508101107,0.0008272271573160971,0.009406939285888483,0.0001366567000043849
Hairdryer,8,173.71936403010835,185.49334591155588,0.9365261226833365,120.00003199067893,1.5457774705090426,0.06355976931026044,1.8566708693553902,0.001478424286469993,0.05709696120293467,0.0010228009880715206,0.02786036485990685,0.0005911901597112936
Hairdryer,9,173.77780432820163,185.36840506331114,0.9374726198288709,120.00022411410194,1.544733823888979,0.06284706733202709,1.7737683720175508,0.001431850715940397,0.05525700738372935,0.0013558786514937164,0.029874215606741757,0.0002442247375258981
Microwave,10,944.7522097394661,1448.3572955234883,0.6522922297277474,120.00000327827607,12.0696437996322,0.12883403017227882,5.678709424886974,0.05473099091082343,0.11312831460216588,0.021094173116061675,0.018246739221150696,0.005177138975277338
Microwave,11,955.5505265481969,1459.822759439494,0.6545661248048258,119.99999825463178,12.165189838935246,0.3121258110431006,8.26045473440761,0.05704801389111062,0.29032257224683494,0.02350849043050184,0.0961900206548274,0.008699475758756521
Microwave,12,931.632337010766,1449.1621242990134,0.6428765432034831,120.00000833573183,12.076350196948304,0.3363839576591783,8.659901236254923,0.058046559321861,0.311298065697212,0.026943073043194796,0.10984685980578401,0.009274503777414561
Microwave,13,926.3085950312014,1440.7233158123095,0.6429469037286522,120.00000420666477,12.006027210891482,0.39118783048376204,8.610675137085895,0.06072740568991541,0.36376970304648576,0.023847558781281072,0.12777282796978842,0.010821387850584315
Microwave,14,984.4213225559412,1472.1745128777657,0.6686852094943703,120.00001164188184,12.268119750448042,0.36588521227162085,8.334610525485434,0.06358815878479498,0.3398460952615873,0.027746699916273126,0.11598595578367858,0.0105140316512585
Air Conditioner,15,135.2949337164936,153.61922088848075,0.8807161820896775,120.00000639280924,1.2801601058721783,0.018477293050169888,1.9450692054675092,0.0002558047224386656,0.018112096236694943,0.00029893720622217886,0.0036334255514418818,7.581310837050677e-05
Air Conditioner,16,127.91178315004093,149.88648866347108,0.8533910180338649,120.0000445833818,1.2490536081369765,0.020798615423757327,1.9855032512968271,0.0012527161405301974,0.01996150833122382,0.00015493029178663553,0.005697616027516759,0.00025388809890275585
Air Conditioner,17,125.03542156730269,147.90143567372792,0.8453969428879116,120.00004328688738,1.2325115193511715,0.019558157607861372,2.0121515791637723,0.001217129635447649,0.01827958729741884,0.0003960692499634884,0.00683421100985094,0.0001830347578198557
Compact Fluorescent Lamp,18,10.622798340632334,23.9091886067736,0.44429773487264385,119.99996429640596,0.19924329767062846,0.8025117548767806,121.35916380972702,0.006419389225090494,0.7235398571407354,0.009134016032898536,0.34683845253152357,0.009676821936980532
Compact Fluorescent Lamp,19,10.494135744389666,23.551580114927198,0.44558096285600773,119.99998852411423,0.1962631863935092,0.8141299459101798,123.86428879870655,0.006519954883877033,0.733968644108667,0.006505645855572256,0.35202731075377103,0.009462427636673402
Compact Fluorescent Lamp,20,10.357121699861167,20.624829487257752,0.5021676279195381,119.99997734447203,0.17187361150954306,0.8092313952856285,71.73876135904314,0.0046671776035154934,0.7289721959900173,0.002907156621369469,0.35130374708611706,0.003229824494692127
Compact Fluorescent Lamp,21,9.588415954015835,19.043408363815942,0.503503142443483,119.99998446625168,0.15869509024121278,0.7992520147624919,18.52609299715114,0.006380924165380355,0.7230075844608161,0.006854932267633045,0.34054674371983973,0.0020062318544902796
